Name,Start,End,Len
MNST,2001-01-02,2021-05-24,5130
NWSA,2013-06-19,2021-05-24,1997
XYL,2011-10-13,2021-05-24,2418
HCA,2011-03-10,2021-05-24,2569
EOG,2001-01-02,2021-05-24,5130
BAX,2001-01-02,2021-05-24,5130
CDNS,2001-01-02,2021-05-24,5130
WRB,2001-01-02,2021-05-24,5130
CI,2001-01-02,2021-05-24,5130
NEM,2001-01-02,2021-05-24,5130
FITB,2001-01-02,2021-05-24,5130
EA,2001-01-02,2021-05-24,5130
MPWR,2004-11-19,2021-05-24,4155
LNC,2001-01-02,2021-05-24,5130
VZ,2001-01-02,2021-05-24,5130
TXT,2001-01-02,2021-05-24,5130
COF,2001-01-02,2021-05-24,5130
LMT,2001-01-02,2021-05-24,5130
VRTX,2001-01-02,2021-05-24,5130
ALGN,2001-01-30,2021-05-24,5111
VRSK,2009-10-07,2021-05-24,2927
WAB,2001-01-02,2021-05-24,5130
STZ,2001-01-02,2021-05-24,5130
EXR,2004-08-16,2021-05-24,4223
MXIM,2001-01-02,2021-05-24,5130
QCOM,2001-01-02,2021-05-24,5130
ROL,2001-01-02,2021-05-24,5130
HIG,2001-01-02,2021-05-24,5130
TYL,2001-01-02,2021-05-24,5130
F,2001-01-02,2021-05-24,5130
AAP,2001-11-29,2021-05-24,4904
CHD,2001-01-02,2021-05-24,5130
WYNN,2002-10-25,2021-05-24,4676
FLIR,2001-01-02,2021-05-20,5126
SYY,2001-01-02,2021-05-24,5130
IFF,2001-01-02,2021-05-24,5130
NOC,2001-01-02,2021-05-24,5130
UNP,2001-01-02,2021-05-24,5130
ESS,2001-01-02,2021-05-24,5130
NWS,2013-06-19,2021-05-24,1997
NTAP,2001-01-02,2021-05-24,5130
INCY,2001-01-02,2021-05-24,5130
IP,2001-01-02,2021-05-24,5130
SNPS,2001-01-02,2021-05-24,5130
PVH,2001-01-02,2021-05-24,5130
TEL,2007-06-14,2021-05-24,3511
EBAY,2001-01-02,2021-05-24,5130
OKE,2001-01-02,2021-05-24,5130
FOXA,2019-03-12,2021-05-24,556
PPG,2001-01-02,2021-05-24,5130
YUM,2001-01-02,2021-05-24,5130
VRSN,2001-01-02,2021-05-24,5130
UA,2016-03-23,2021-05-24,1302
KO,2001-01-02,2021-05-24,5130
TGT,2001-01-02,2021-05-24,5130
ATO,2001-01-02,2021-05-24,5130
CTAS,2001-01-02,2021-05-24,5130
GPS,2001-01-02,2021-05-24,5130
KHC,2015-07-06,2021-05-24,1483
PEP,2001-01-02,2021-05-24,5130
MAR,2001-01-02,2021-05-24,5130
WEC,2001-01-02,2021-05-24,5130
WST,2001-01-02,2021-05-24,5130
GS,2001-01-02,2021-05-24,5130
IQV,2013-05-09,2021-05-24,2025
TSCO,2001-01-02,2021-05-24,5130
XOM,2001-01-02,2021-05-24,5130
ULTA,2007-10-25,2021-05-24,3418
KMX,2001-01-02,2021-05-24,5130
NFLX,2002-05-23,2021-05-24,4784
A,2001-01-02,2021-05-24,5130
CSX,2001-01-02,2021-05-24,5130
SPG,2001-01-02,2021-05-24,5130
INTU,2001-01-02,2021-05-24,5130
MAA,2001-01-02,2021-05-24,5130
MPC,2011-06-24,2021-05-24,2495
QRVO,2015-01-02,2021-05-24,1609
BR,2007-03-22,2021-05-24,3569
TRV,2001-01-02,2021-05-24,5130
AIG,2001-01-02,2021-05-24,5130
AES,2001-01-02,2021-05-24,5130
ADBE,2001-01-02,2021-05-24,5130
HLT,2013-12-12,2021-05-24,1874
PSX,2012-04-12,2021-05-24,2294
APD,2001-01-02,2021-05-24,5130
DRE,2001-01-02,2021-05-24,5130
MSI,2001-01-02,2021-05-24,5130
WAT,2001-01-02,2021-05-24,5130
GILD,2001-01-02,2021-05-24,5130
RE,2001-01-02,2021-05-24,5130
ANET,2014-06-06,2021-05-24,1754
AVY,2001-01-02,2021-05-24,5130
MU,2001-01-02,2021-05-24,5130
LRCX,2001-01-02,2021-05-24,5130
LKQ,2003-10-06,2021-05-24,4439
CHTR,2010-01-05,2021-05-24,2866
MDLZ,2001-06-13,2021-05-24,5018
TMO,2001-01-02,2021-05-24,5130
OTIS,2020-03-19,2021-05-24,298
HST,2001-01-02,2021-05-24,5130
LDOS,2006-10-17,2021-05-24,3675
ES,2001-01-02,2021-05-24,5130
UPS,2001-01-02,2021-05-24,5130
XLNX,2001-01-02,2021-05-24,5130
HAS,2001-01-02,2021-05-24,5130
HSIC,2001-01-02,2021-05-24,5130
MS,2001-01-02,2021-05-24,5130
ILMN,2001-01-02,2021-05-24,5130
AKAM,2001-01-02,2021-05-24,5130
EQIX,2001-01-02,2021-05-24,5130
SNA,2001-01-02,2021-05-24,5130
ZION,2001-01-02,2021-05-24,5130
ANTM,2001-10-30,2021-05-24,4925
RHI,2001-01-02,2021-05-24,5130
GOOG,2004-08-19,2021-05-24,4220
DAL,2007-05-03,2021-05-24,3540
ENPH,2012-03-30,2021-05-24,2302
PPL,2001-01-02,2021-05-24,5130
VTRS,2001-01-02,2021-05-24,5130
RCL,2001-01-02,2021-05-24,5130
FE,2001-01-02,2021-05-24,5130
FCX,2001-01-02,2021-05-24,5130
BSX,2001-01-02,2021-05-24,5130
LVS,2004-12-15,2021-05-24,4138
INTC,2001-01-02,2021-05-24,5130
PRU,2001-12-13,2021-05-24,4894
TRMB,2001-01-02,2021-05-24,5130
CRM,2004-06-23,2021-05-24,4260
SO,2001-01-02,2021-05-24,5130
RTX,2001-01-02,2021-05-24,5130
CCI,2001-01-02,2021-05-24,5130
LEN,2001-01-02,2021-05-24,5130
